Reviewer Name,Review Title,Place of Review,Up Votes,Down Votes,Month,Review text,Ratings,Cleaned Review Text,Sentiment
Flipkart Customer,Expected a better product,"Certified Buyer, Malappuram District",0.0,0.0,Feb 2021,Average praductREAD MORE,5,average praductread more,Positive
Gangishetti Akhil,Decent product,"Certified Buyer, Siddipeta",0.0,0.0,Feb 2021,Some of the shuttles are very fast no drift at all worst purchaseREAD MORE,2,some of the shuttles are very fast no drift at all worst purchaseread more,Negative
Flipkart Customer,Very Good,"Certified Buyer, Guntur",0.0,0.0,Feb 2021,GoodREAD MORE,5,goodread more,Positive
Partha  Sen,Horrible,"Certified Buyer, Manbazar",0.0,0.0,Feb 2021,i was really surprised with the speed of delivery...got the product in less than 12 hours...full 5 starsREAD MORE,5,i was really surprised with the speed of deliverygot the product in less than 12 hoursfull 5 starsread more,Positive
Rameese Raja  salim,Great product,"Certified Buyer, Angamaly",0.0,0.0,Feb 2021,AverageREAD MORE,3,averageread more,Positive
Flipkart Customer,Delightful,"Certified Buyer, Chittoor",0.0,0.0,Feb 2021,Super... thanks FlipkartREAD MORE,5,super thanks flipkartread more,Positive
fasil kp,Waste of money!,"Certified Buyer, Ernakulam",0.0,0.0,Feb 2021,Cork is not worthy. Quality is too poor.READ MORE,2,cork is not worthy quality is too poorread more,Positive
Flipkart Customer,Value-for-money,"Certified Buyer, Visakhapatnam",0.0,0.0,Feb 2021,Not badREAD MORE,3,not badread more,Positive
Bidesh Kumar  Mandal,Good,"Certified Buyer, Murshidabad District",0.0,0.0,Feb 2021,Original ptoduct.I m happy with that.ty flipcart.today I have just received the item and it seems superb.after playing with the shuttle I will post more review whether it is genuine or not.READ MORE,5,original ptoducti m happy with thatty flipcarttoday i have just received the item and it seems superbafter playing with the shuttle i will post more review whether it is genuine or notread more,Positive
Vinod Kumar Garg,Good choice,"Certified Buyer, Mumbai",0.0,0.0,Feb 2021,SuperREAD MORE,5,superread more,Positive
Rijilraj kp,Perfect product!,"Certified Buyer, Malappuram District",0.0,0.0,Feb 2021,Good job. Reached my purchase. 3 Before the delivery date. Keep it upREAD MORE,2,good job reached my purchase 3 before the delivery date keep it upread more,Positive
Jyotirmaya Si,Nice product,"Certified Buyer, Mayurbhanj District",0.0,0.0,Feb 2021,shuttle are have very speedREAD MORE,3,shuttle are have very speedread more,Positive
Mayank  Gupta,Unsatisfactory,"Certified Buyer, Shahjahanpur Industrial Area",0.0,0.0,Feb 2021,GoodREAD MORE,4,goodread more,Positive
Pratik Bhagat,Super!,"Certified Buyer, Godda District",0.0,0.0,Jan 2021,Damage  product givenREAD MORE,1,damage  product givenread more,Positive
Thippesh  Arani,Utterly Disappointed,"Certified Buyer, Davanagere District",0.0,0.0,Jan 2021,good qualityREAD MORE,5,good qualityread more,Positive
arup  deb,Really Nice,"Certified Buyer, Barpeta",0.0,0.0,Jan 2021,GoodREAD MORE,4,goodread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Visakhapatnam",0.0,0.0,Jan 2021,Price to highREAD MORE,1,price to highread more,Positive
Flipkart Customer,Fair,"Certified Buyer, Ysr District",0.0,0.0,Jan 2021,NiceREAD MORE,4,niceread more,Positive
Bijay Thakur,Nice product,"Certified Buyer, Barpathar",0.0,0.0,Jan 2021,Not badREAD MORE,3,not badread more,Positive
Samaresh Parui,Pretty good,"Certified Buyer, Haldia",0.0,0.0,Jan 2021,Good shuttleREAD MORE,4,good shuttleread more,Positive
Shashank Misra,Brilliant,"Certified Buyer, Bangalore",0.0,0.0,Jan 2021,Good quality productREAD MORE,5,good quality productread more,Positive
Flipkart Customer,Mind-blowing purchase,"Certified Buyer, Tiruchirappalli District",0.0,0.0,Jan 2021,GoodREAD MORE,4,goodread more,Positive
Gani Mouni,Good quality product,"Certified Buyer, Suryapet District",0.0,0.0,Jan 2021,Item was not upto the markShuttle demaged only in 2 days i think stock was not new manufactured 2 or 3 yearsbackREAD MORE,1,item was not upto the markshuttle demaged only in 2 days i think stock was not new manufactured 2 or 3 yearsbackread more,Positive
Dhoma Yugandhar,Super!,"Certified Buyer, Mangasamudram",0.0,0.0,Jan 2021,Smart buy at only 809..READ MORE,5,smart buy at only 809read more,Positive
Flipkart Customer,Does the job,"Certified Buyer, Itanagar",0.0,0.0,Jan 2021,This is not mavis350 slow.. the feathers are rough.. and shettle flies outside the court easily. Can't play the proper game..READ MORE,1,this is not mavis350 slow the feathers are rough and shettle flies outside the court easily cant play the proper gameread more,Positive
Flipkart Customer,Highly recommended,"Certified Buyer, Siwan",0.0,0.0,Jan 2021,Thank you flipkart for arranging the replacement. I am upgrading the stars. But please ensure that such incidents doesn't happen again.READ MORE,4,thank you flipkart for arranging the replacement i am upgrading the stars but please ensure that such incidents doesnt happen againread more,Positive
Bishal  Bhujel,Super!,"Certified Buyer, Jorethang",0.0,0.0,Jan 2021,Good qualityREAD MORE,5,good qualityread more,Positive
g johnbabu johnbabu,Excellent,"Certified Buyer, Guntur",0.0,0.0,Jan 2021,"Go fast product not gud,rate too high iam not satisfiedREAD MORE",3,go fast product not gudrate too high iam not satisfiedread more,Positive
Suresh Babu  CH,Mind-blowing purchase,"Certified Buyer, Chilakaluripet",0.0,0.0,Jan 2021,Always better this shuttleREAD MORE,4,always better this shuttleread more,Positive
Flipkart Customer,Waste of money!,"Certified Buyer, Navi Mumbai",0.0,0.0,Jan 2021,"It's a good Shuttle for Outdoor.We are always playing with Mavis 350Great Shuttle but "" white is better than green "" 👍READ MORE",4,its a good shuttle for outdoorwe are always playing with mavis 350great shuttle but  white is better than green  read more,Positive
Flipkart Customer,Good quality product,"Certified Buyer, North Goa District",0.0,0.0,Jan 2021,Genuine Yonex shuttle. Verified the code on sunrise website.READ MORE,5,genuine yonex shuttle verified the code on sunrise websiteread more,Positive
Vishal  V S,Classy product,"Certified Buyer, Perumbavoor",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
C Basavaraj Basavaraj,Worth every penny,"Certified Buyer, Hubballi",0.0,0.0,Jan 2021,Super quality and good durabilityREAD MORE,4,super quality and good durabilityread more,Positive
Flipkart Customer,Horrible,"Certified Buyer, Baksa District",0.0,0.0,Jan 2021,excellentREAD MORE,5,excellentread more,Positive
Ramamurthy ,Waste of money!,"Certified Buyer, Erode",0.0,0.0,Jan 2021,Itna kash nai. But nimit okayREAD MORE,3,itna kash nai but nimit okayread more,Positive
Chillagattu Ravindranath,Wonderful,"Certified Buyer, Hyderabad",0.0,0.0,Jan 2021,Very good and thanksREAD MORE,5,very good and thanksread more,Positive
PRAMOD SINGH,Not good,"Certified Buyer, Vindhya Nagar Ntpc Township",0.0,0.0,Jan 2021,It is goodREAD MORE,5,it is goodread more,Positive
Nongthomban Bishorjit ,Value-for-money,"Certified Buyer, Shillong",0.0,0.0,Jan 2021,ExcellentREAD MORE,5,excellentread more,Positive
Abhishek s,Great product,"Certified Buyer, Kattanam",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Really Nice,"Certified Buyer, Batika",0.0,1.0,Jan 2021,The shuttle speed was lower than anticipates as compared to the normal ones brought from the store. Complete waste of money.READ MORE,1,the shuttle speed was lower than anticipates as compared to the normal ones brought from the store complete waste of moneyread more,Positive
Bikas kumar,Good quality product,"Certified Buyer, Barauni Ioc Township",0.0,0.0,Jan 2021,PerfectREAD MORE,4,perfectread more,Positive
Ajay Dhamecha,Terrific purchase,"Certified Buyer, Bhavnagar",0.0,0.0,Jan 2021,ExcellentREAD MORE,5,excellentread more,Positive
ajish john,Moderate,"Certified Buyer, Palakkad District",0.0,0.0,Jan 2021,Very good qualityREAD MORE,5,very good qualityread more,Positive
Soubik Deb,Highly recommended,"Certified Buyer, Kumarghat",0.0,0.0,Jan 2021,Damaged products..READ MORE,1,damaged productsread more,Positive
Flipkart Customer,Excellent,"Certified Buyer, Miryalaguda",0.0,0.0,Jan 2021,Poor quality don't buy thisREAD MORE,1,poor quality dont buy thisread more,Positive
P.ravi p.ravi,Just wow!,"Certified Buyer, Kurnool District",0.0,0.0,Jan 2021,Nice product and timely delivery.READ MORE,5,nice product and timely deliveryread more,Positive
Robin Thampan,Terrific,"Certified Buyer, Thodiyoor",0.0,0.0,Jan 2021,Damaged very quickly.Played hardly for 02 matches per shuttle.READ MORE,2,damaged very quicklyplayed hardly for 02 matches per shuttleread more,Positive
NAMAN RATHORE,Simply awesome,"Certified Buyer, Ahmedabad",0.0,0.0,Jan 2021,This product is goodREAD MORE,4,this product is goodread more,Positive
Satya  Narayana,Fabulous!,"Certified Buyer, Vizianagaram",0.0,0.0,Jan 2021,Orginal product👍👍READ MORE,5,orginal productread more,Positive
Madhu Bobbili,Don't waste your money,"Certified Buyer, Visakhapatnam District",0.0,0.0,Jan 2021,Value for moneyREAD MORE,4,value for moneyread more,Positive
Mohd Mohsin,Value-for-money,"Certified Buyer, Muhammadabad",0.0,0.0,Jan 2021,Go for it...READ MORE,4,go for itread more,Positive
Flipkart Customer,Just wow!,"Certified Buyer, Bhilai",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Raju Yadav,Must buy!,"Certified Buyer, Visakhapatnam",0.0,0.0,Jan 2021,Not goodREAD MORE,2,not goodread more,Positive
Flipkart Customer,Terrific,"Certified Buyer, Salur",0.0,0.0,Jan 2021,𝙊𝙪𝙩𝙨𝙩𝙖𝙣𝙙𝙞𝙣𝙜READ MORE,5,𝙊𝙪𝙩𝙨𝙩𝙖𝙣𝙙𝙞𝙣𝙜read more,Positive
Pati Rahul,Slightly disappointed,"Certified Buyer, Khammam",0.0,0.0,Jan 2021,Favorite for everREAD MORE,5,favorite for everread more,Positive
Flipkart Customer,Perfect product!,"Certified Buyer, Jammu",0.0,0.0,Jan 2021,NiceREAD MORE,5,niceread more,Positive
Ashok arnipalli,Very Good,"Certified Buyer, Anantapur District",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Moderate,"Certified Buyer, Jhansi",0.0,0.0,Jan 2021,good and durable for smashingREAD MORE,5,good and durable for smashingread more,Positive
Flipkart Customer,Terrific purchase,"Certified Buyer, Gorakhpur",0.0,0.0,Jan 2021,Awesome productREAD MORE,5,awesome productread more,Positive
Mohammed Siddique ,Good choice,"Certified Buyer, Vellore",0.0,0.0,Jan 2021,Waste of moneyREAD MORE,1,waste of moneyread more,Positive
Jaideep Kumar,Wonderful,"Certified Buyer, Jetpur Navagadh",0.0,0.0,Jan 2021,NYC productsREAD MORE,4,nyc productsread more,Positive
Flipkart Customer,Worth the money,"Certified Buyer, Chengalpattu",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Jewel  Benny ,Terrific,"Certified Buyer, Kottayam District",0.0,0.0,Jan 2021,Price to highREAD MORE,5,price to highread more,Positive
Vivek Nagori,Terrific,"Certified Buyer, Bengaluru",0.0,0.0,Jan 2021,Good productREAD MORE,5,good productread more,Positive
Anshuman Pradhan,Brilliant,"Certified Buyer, Angul",0.0,0.0,Jan 2021,OkREAD MORE,2,okread more,Positive
Prashant ji Kamal,Best in the market!,"Certified Buyer, Hamirpur",0.0,0.0,Jan 2021,Best qualityREAD MORE,5,best qualityread more,Positive
S.Siddoji Rao,Wonderful,"Certified Buyer, Bangalore",0.0,0.0,Jan 2021,NiceREAD MORE,4,niceread more,Positive
Deben Kumar,Wonderful,"Certified Buyer, Sambalpur District",0.0,0.0,Jan 2021,Its  tooo bad   quality .its  just running  2  to  3  days onlyREAD MORE,2,its  tooo bad   quality its  just running  2  to  3  days onlyread more,Negative
Flipkart Customer,Good choice,"Certified Buyer, Bengaluru",0.0,0.0,Jan 2021,Yar suttle is very good but the price is to high for normal studentREAD MORE,5,yar suttle is very good but the price is to high for normal studentread more,Positive
Nadeer  Kp,Utterly Disappointed,"Certified Buyer, Kannur District",0.0,0.0,Jan 2021,Not up to the markREAD MORE,4,not up to the markread more,Positive
Suchismita  C,Simply awesome,"Certified Buyer, New Town",0.0,0.0,Jan 2021,Very good excellentREAD MORE,5,very good excellentread more,Positive
RAMA CHANDER MOGANTY,Simply awesome,"Certified Buyer, Visakhapatnam",0.0,0.0,Jan 2021,OkREAD MORE,4,okread more,Positive
Flipkart Customer,Very Good,"Certified Buyer, Bellary",0.0,0.0,Jan 2021,Mmm....okREAD MORE,5,mmmokread more,Positive
Dillip Dalai,Worthless,"Certified Buyer, Bhubaneswar",0.0,0.0,Jan 2021,It's a very good productREAD MORE,5,its a very good productread more,Positive
Alok Singh,Just okay,"Certified Buyer, Dhenkanal District",0.0,0.0,Jan 2021,Got genuine product. Even the import stamp says December 2020. Even when there's a shortage of these shuttles import.READ MORE,5,got genuine product even the import stamp says december 2020 even when theres a shortage of these shuttles importread more,Positive
Subhadip seal,Wonderful,"Certified Buyer, Hugli District",0.0,0.0,Jan 2021,Good quality delivered within 72hREAD MORE,5,good quality delivered within 72hread more,Positive
Bakkiya Raj,Brilliant,"Certified Buyer, Chennai",0.0,0.0,Jan 2021,Nice n genuine productREAD MORE,5,nice n genuine productread more,Positive
arun abraham,Mind-blowing purchase,"Certified Buyer, Pala",0.0,0.0,Jan 2021,NYC productREAD MORE,5,nyc productread more,Positive
Puneet Chhabra,Super!,"Certified Buyer, Indore",0.0,0.0,Jan 2021,"Good, compared with other shuttleREAD MORE",4,good compared with other shuttleread more,Positive
Flipkart Customer,Super!,"Certified Buyer, Noida",0.0,0.0,Jan 2021,Waste for moneyREAD MORE,1,waste for moneyread more,Positive
Avinash Bando,Delightful,"Certified Buyer, Chatra",0.0,0.0,Jan 2021,Excellent flight and carry. Good for practice.READ MORE,5,excellent flight and carry good for practiceread more,Positive
Vivekananthan Thirugnanam,Highly recommended,"Certified Buyer, Kumbakonam",0.0,0.0,Jan 2021,goodREAD MORE,5,goodread more,Positive
Saddam Mansuri,Utterly Disappointed,"Certified Buyer, New Delhi",0.0,0.0,Jan 2021,Good morningREAD MORE,4,good morningread more,Positive
Flipkart Customer,Perfect product!,"Certified Buyer, Datia",0.0,0.0,Jan 2021,Not good product.... Old product.... Faced lots of problemsNot expected such type of problemsREAD MORE,1,not good product old product faced lots of problemsnot expected such type of problemsread more,Positive
Flipkart Customer,Super!,"Certified Buyer, Pansemal",0.0,0.0,Jan 2021,One shuttle was not goodREAD MORE,3,one shuttle was not goodread more,Positive
Gokul Vijay,Awesome,"Certified Buyer, Ramanattukara",0.0,0.0,Jan 2021,Very good quality productREAD MORE,5,very good quality productread more,Positive
Flipkart Customer,Really Nice,"Certified Buyer, Chikkamagaluru",0.0,0.0,Jan 2021,Good quality 👌READ MORE,5,good quality read more,Positive
Shivam Tiwari,Mind-blowing purchase,"Certified Buyer, Barmer",0.0,0.0,Jan 2021,No problem its looking like goodREAD MORE,5,no problem its looking like goodread more,Positive
Sachin  Karnewar,Highly recommended,"Certified Buyer, Basmath",0.0,0.0,Jan 2021,"Gud product, all shuttles are brand newREAD MORE",5,gud product all shuttles are brand newread more,Positive
Vipin CR,Worthless,"Certified Buyer, Wayanad District",0.0,0.0,Jan 2021,Great!!READ MORE,5,greatread more,Positive
VISHNUVARTHAN U,Great product,"Certified Buyer, Coimbatore",0.0,0.0,Jan 2021,As expected product.READ MORE,4,as expected productread more,Positive
KUNAL KUMAR,Not good,"Certified Buyer, Patna",0.0,0.0,Jan 2021,Definitely a original product as we got fooled by our localsREAD MORE,5,definitely a original product as we got fooled by our localsread more,Positive
Kalyan Singh,Excellent,"Certified Buyer, Baleshwar District",0.0,0.0,Jan 2021,One of them is broken.READ MORE,1,one of them is brokenread more,Positive
Nimita Singh,Does the job,"Certified Buyer, Vadodara District",0.0,0.0,Jan 2021,Good but very costlyREAD MORE,5,good but very costlyread more,Positive
Saikat  Dutta ,Wonderful,"Certified Buyer, North Twenty Four Parganas District",0.0,0.0,Jan 2021,100% originalREAD MORE,5,100 originalread more,Positive
Kardak Lona,Terrific purchase,"Certified Buyer, Bagalkot",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Ankan Garai,Terrific,"Certified Buyer, Bankura",0.0,0.0,Jan 2021,goodREAD MORE,4,goodread more,Positive
Anand Sreehari,Worst experience ever!,"Certified Buyer, Malappuram District",0.0,0.0,Jan 2021,Always best as usualREAD MORE,5,always best as usualread more,Positive
Ajay .,Perfect product!,"Certified Buyer, Siliguri",0.0,0.0,Jan 2021,Very niceREAD MORE,5,very niceread more,Positive
krishna kk,Terrific,"Certified Buyer, Srikakulam District",0.0,0.0,Jan 2021,Bad product. I got two days durabilityREAD MORE,1,bad product i got two days durabilityread more,Negative
Rakesh Kumar,Decent product,"Certified Buyer, Madhepura",0.0,0.0,Jan 2021,Perfect Shuttle for beginners and intermediate players.READ MORE,5,perfect shuttle for beginners and intermediate playersread more,Positive
D.Sankar Durai,Brilliant,"Certified Buyer, Natrampalli",0.0,0.0,Jan 2021,Stick only 2days# Shuttle.READ MORE,2,stick only 2days shuttleread more,Positive
Flipkart Customer,Don't waste your money,"Certified Buyer, Yamunanagar",0.0,0.0,Jan 2021,Slow in speed but very niceREAD MORE,5,slow in speed but very niceread more,Positive
Flipkart Customer,Terrific purchase,"Certified Buyer, Siliguri",0.0,0.0,Jan 2021,It was ok..but little bit slowREAD MORE,3,it was okbut little bit slowread more,Positive
Flipkart Customer,Wonderful,"Certified Buyer, Visakhapatnam District",0.0,0.0,Jan 2021,Good quality 👌READ MORE,5,good quality read more,Positive
PAWAN Kumar,Worth the money,"Certified Buyer, Ahmedabad",0.0,0.0,Jan 2021,Always awesome product 😎 👌 😘❤READ MORE,5,always awesome product   read more,Positive
మేరీ రంజిత్ కుమార్ మేరీ రంజిత్ కుమార్,Classy product,"Certified Buyer, Bhadrari Kothagudem District",0.0,0.0,Jan 2021,Awesome ProductREAD MORE,5,awesome productread more,Positive
Nibo Zhimo,Good quality product,"Certified Buyer, Dimapur",0.0,0.0,Jan 2021,Not durableREAD MORE,1,not durableread more,Positive
Dr Pawan Kumarsc,Perfect product!,"Certified Buyer, Chiknayakanhalli",0.0,0.0,Jan 2021,Great value for money.READ MORE,5,great value for moneyread more,Positive
Venkat Vibhudi ,Wonderful,"Certified Buyer, Jangareddigudem",0.0,0.0,Jan 2021,Very nice product superrrrrrrREAD MORE,5,very nice product superrrrrrrread more,Positive
Mohd Waqar,Terrible product,"Certified Buyer, Mubarakpur",0.0,0.0,Jan 2021,Not badREAD MORE,3,not badread more,Positive
Sudhir   Tamore ,Excellent,"Certified Buyer, Boisar",0.0,0.0,Jan 2021,Quality good..READ MORE,5,quality goodread more,Positive
Dharmesh mishra,Mind-blowing purchase,"Certified Buyer, North Tripura District",0.0,0.0,Jan 2021,"very old product, very bad quality, broken just in one match, the one I bought from market was good but brought from flipkart is very bad.Never ever buy these shuttle from flipkart.READ MORE",1,very old product very bad quality broken just in one match the one i bought from market was good but brought from flipkart is very badnever ever buy these shuttle from flipkartread more,Positive
Naveen Gullapelly,Good quality product,"Certified Buyer, Narsampet",0.0,0.0,Jan 2021,osamaREAD MORE,5,osamaread more,Positive
DURGESH KASHYAP,Worth every penny,"Certified Buyer, Kondagaon District",0.0,0.0,Jan 2021,Wow . Super super superREAD MORE,4,wow  super super superread more,Positive
Akash Biswas,Worth every penny,"Certified Buyer, Maldah District",0.0,0.0,Jan 2021,delivered on time...value for money....go 4 it.READ MORE,4,delivered on timevalue for moneygo 4 itread more,Positive
Flipkart Customer,Best in the market!,"Certified Buyer, Berhampore",0.0,0.0,Jan 2021,SprREAD MORE,5,sprread more,Positive
R Basavaraja ,Delightful,"Certified Buyer, Bellary",0.0,0.0,Jan 2021,GoodREAD MORE,4,goodread more,Positive
Adil Jamal,Awesome,"Certified Buyer, Singrauli",0.0,0.0,Jan 2021,SupremeREAD MORE,5,supremeread more,Positive
Flipkart Customer,Perfect product!,"Certified Buyer, Nawada District",0.0,0.0,Jan 2021,Each one 150 costly gameREAD MORE,5,each one 150 costly gameread more,Positive
Flipkart Customer,Wonderful,"Certified Buyer, Kodad",0.0,0.0,Jan 2021,Damaged itemREAD MORE,1,damaged itemread more,Positive
Mukul Mani  Tiwari,Slightly disappointed,"Certified Buyer, Bulandshahr District",0.0,0.0,Jan 2021,goodREAD MORE,5,goodread more,Positive
Flipkart Customer,Good,"Certified Buyer, Gopalapuram",0.0,0.0,Jan 2021,Very good itemREAD MORE,5,very good itemread more,Positive
Flipkart Customer,Worth every penny,"Certified Buyer, Jhalawar",0.0,0.0,Jan 2021,good qualityREAD MORE,4,good qualityread more,Positive
Flipkart Customer,Utterly Disappointed,"Certified Buyer, Fatehabad District",0.0,0.0,Jan 2021,Good....No choiceREAD MORE,5,goodno choiceread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Kurnool District",0.0,0.0,Jan 2021,"Good one, Orginal product.READ MORE",5,good one orginal productread more,Positive
Flipkart Customer,Good choice,"Certified Buyer, Silchar",0.0,0.0,Jan 2021,WonderfulREAD MORE,5,wonderfulread more,Positive
Renju  Krishnan,Utterly Disappointed,"Certified Buyer, Kollam",0.0,0.0,Jan 2021,It's very good quality product...READ MORE,4,its very good quality productread more,Positive
Shashank Kumar Singh,Bad quality,"Certified Buyer, Gonda",0.0,0.0,Jan 2021,GreatREAD MORE,5,greatread more,Positive
Santanu Bishoyi,Utterly Disappointed,"Certified Buyer, Digapahandi",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Krishna Kumar,Worthless,"Certified Buyer, Roorkee",0.0,0.0,Jan 2021,SuperREAD MORE,5,superread more,Positive
Chandan Barman,Waste of money!,"Certified Buyer, Bandhail",0.0,0.0,Jan 2021,"The quality of this shuttlecock is not good. After 5 to 6 games, the skirt damage and it become unbalanced and unplayable.READ MORE",2,the quality of this shuttlecock is not good after 5 to 6 games the skirt damage and it become unbalanced and unplayableread more,Positive
Nikhil  Mohanan,Perfect product!,"Certified Buyer, Kottayam",0.0,0.0,Jan 2021,K betterREAD MORE,3,k betterread more,Positive
Bishal Singha,Brilliant,"Certified Buyer, Malda",0.0,0.0,Jan 2021,Very good shuttles...👌READ MORE,5,very good shuttlesread more,Positive
Flipkart Customer,Delightful,"Certified Buyer, Thrissur",0.0,0.0,Jan 2021,Item  is  note  same  qualityREAD MORE,1,item  is  note  same  qualityread more,Positive
Mohammad Layakat,Nice,"Certified Buyer, Madhupur",0.0,0.0,Jan 2021,SuperREAD MORE,5,superread more,Positive
Harish l,Terrific purchase,"Certified Buyer, Narsipatnam",0.0,0.0,Jan 2021,"Good, as expected.READ MORE",4,good as expectedread more,Positive
rajeev ranjan,Terrific purchase,"Certified Buyer, Sonapur Gaon",0.0,0.0,Jan 2021,Bad...products..READ MORE,1,badproductsread more,Positive
MD MODASSIR  ALAM ,Not recommended at all,"Certified Buyer, Bhagalpur",0.0,0.0,Jan 2021,the shuttles failed miserably...one miss hit to the shuttle skirt and it broke from bottom core…READ MORE,2,the shuttles failed miserablyone miss hit to the shuttle skirt and it broke from bottom coreread more,Neutral
Diganta Hazarika,Terrific purchase,"Certified Buyer, Majuli District",0.0,0.0,Jan 2021,Very badREAD MORE,1,very badread more,Positive
Kudge Kupendrareddy ,Simply awesome,"Certified Buyer, Bidar",0.0,0.0,Jan 2021,In some one there is a small small hole in shuttleREAD MORE,1,in some one there is a small small hole in shuttleread more,Neutral
SURIDDHA MUNSHI,Excellent,"Certified Buyer, Malda",0.0,0.0,Jan 2021,Not goodREAD MORE,1,not goodread more,Positive
Flipkart Customer,Excellent,"Certified Buyer, West Godavari District",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Abhijith KV,Wonderful,"Certified Buyer, Kannur District",0.0,0.0,Jan 2021,AcceptedREAD MORE,5,acceptedread more,Positive
Flipkart Customer,Worth every penny,"Certified Buyer, Bidar",0.0,0.0,Jan 2021,Very good....READ MORE,4,very goodread more,Positive
MANOHAR PAIGHAN,Good choice,"Certified Buyer, Jintur",0.0,0.0,Jan 2021,Not niceREAD MORE,3,not niceread more,Positive
Devendra Kumar Rathore,Just okay,"Certified Buyer, Chennai",0.0,0.0,Jan 2021,Original Good qualityREAD MORE,5,original good qualityread more,Positive
Md intaz Sk,Very Good,"Certified Buyer, Nadia District",0.0,0.0,Jan 2021,Good productREAD MORE,5,good productread more,Positive
RAMAKRISHNA GOTLA,Wonderful,"Certified Buyer, Kurnool",0.0,0.0,Jan 2021,Atom is missingREAD MORE,1,atom is missingread more,Positive
Aayushya Shukla,Best in the market!,"Certified Buyer, Shahjahanpur",0.0,0.0,Jan 2021,good productREAD MORE,5,good productread more,Positive
Sayan Saha,Really Nice,"Certified Buyer, Berhampore",0.0,0.0,Jan 2021,Nothing is better than this....READ MORE,5,nothing is better than thisread more,Positive
Flipkart Customer,Very Good,"Certified Buyer, Kollam District",0.0,0.0,Jan 2021,Quality is going down day by dayREAD MORE,5,quality is going down day by dayread more,Positive
Siva Prasad rao Kommuri,Mind-blowing purchase,"Certified Buyer, Krishna District",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Santhosh San,Terrific,"Certified Buyer, Kadathur",0.0,0.0,Jan 2021,Loved itREAD MORE,4,loved itread more,Positive
pallab deka,Awesome,"Certified Buyer, Duliajan No 1",0.0,0.0,Jan 2021,Nice productREAD MORE,5,nice productread more,Positive
Flipkart Customer,Not recommended at all,"Certified Buyer, Puducherry",0.0,0.0,Jan 2021,GreatREAD MORE,4,greatread more,Positive
Flipkart Customer,Really Nice,"Certified Buyer, Koraput",0.0,0.0,Jan 2021,Very costlyREAD MORE,3,very costlyread more,Positive
Sumon  Bhowmik,Horrible,"Certified Buyer, Jalpaiguri",0.0,0.0,Jan 2021,Very nice productREAD MORE,4,very nice productread more,Positive
Flipkart Customer,Good choice,"Certified Buyer, Thiruvananthapuram District",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Vasu Choppa,Very Good,"Certified Buyer, Sundargarh District",0.0,0.0,Jan 2021,Original product. Got it fully packed with yonex hologram. The quality of the product is relly nice.READ MORE,5,original product got it fully packed with yonex hologram the quality of the product is relly niceread more,Positive
Bhupendra Singh,Wonderful,"Certified Buyer, New Delhi",0.0,0.0,Jan 2021,Good. But a bit costly this year.READ MORE,4,good but a bit costly this yearread more,Positive
Ferdinand Chyrmang,Terrific purchase,"Certified Buyer, Shillong",0.0,0.0,Jan 2021,GoodREAD MORE,4,goodread more,Positive
Kiran Vijay,Value-for-money,"Certified Buyer, Thodiyoor",0.0,0.0,Jan 2021,GoodREAD MORE,5,goodread more,Positive
Sathesh R,Must buy!,"Certified Buyer, Karaikkudi",0.0,0.0,Jan 2021,AwesomeREAD MORE,5,awesomeread more,Positive
Dhanemkula  Nagaraju,Simply awesome,"Certified Buyer, Prakasam District",0.0,0.0,Jan 2021,Great purchaseREAD MORE,5,great purchaseread more,Positive
Sriram MS,Did not meet expectations,"Certified Buyer, Bangalore",0.0,0.0,Jan 2021,"in this roll only  5 games it will  tear, all the way, pls provided  original quality.READ MORE",1,in this roll only  5 games it will  tear all the way pls provided  original qualityread more,Positive
Akhil Ajith,Worth the money,"Certified Buyer, Kurattissery",0.0,0.0,Jan 2021,Best productREAD MORE,4,best productread more,Positive
Manish Dhirwani,Brilliant,"Certified Buyer, Thane District",0.0,0.0,Jan 2021,BadREAD MORE,1,badread more,Positive
kaustubh kushwaha,Excellent,"Certified Buyer, Faizabad",0.0,0.0,Jan 2021,GoodREAD MORE,4,goodread more,Positive
APPA RAO PONNAGANTI,Best in the market!,"Certified Buyer, Machilipatnam",0.0,0.0,Jan 2021,Nice shuttle and base is too goodREAD MORE,4,nice shuttle and base is too goodread more,Positive
Flipkart Customer,Highly recommended,"Certified Buyer, Bihta Begusarai District",0.0,0.0,Jan 2021,Good QualityREAD MORE,5,good qualityread more,Positive
